Czas;Plec;Wiek;Wsparcie;SE;Przekonania_kulturowe;Przekonania_ekonomiczne;Fundamentalizm_religijny;Ksenofobia;Akceptacja_kapitalizmu;Antyinterwencjonizm;GSES_1;GSES_2;GSES_3;GSES_4;GSES_5;GSES_6;GSES_7;GSES_8;GSES_9;GSES_10;KPP_1;KPP_2;KPP_3;KPP_4;KPP_5;KPP_6;KPP_6_ODW;KPP_7;KPP_8;KPP_8_ODW;KPP_9;KPP_10;KPP_11;KPP_11_ODW;KPP_12;KPP_12_ODW;KPP_13;KPP_14;KPP_14_ODW;KPP_15;KPP_16;KPP_16_ODW;KPP_17;KPP_17_ODW;KPP_18;KPP_19;KPP_19_ODW
2020/07/09 6:29:35 PM CET;1;27;1;32;3,33;2,9;3,33;3,33;2,67;3,14;4;2;3;2;3;4;4;4;3;3;2;2;4;2;2;4;2;4;2;4;5;4;1;5;5;1;2;4;2;4;2;4;2;4;2;1;5
2020/07/10 12:21:22 PM CET;1;26;0;34;2,75;2,52;2,5;3;1,33;3,71;4;3;3;3;3;4;4;3;3;4;3;2;3;1;3;2;4;2;1;5;2;1;4;2;2;4;2;2;4;4;5;1;2;4;3;2;4
2020/07/10 3:38:36 PM CET;0;40;1;28;3,83;2,86;3,33;4,33;3;2,71;3;2;2;3;3;3;3;3;3;3;3;4;3;3;3;3;3;4;4;2;4;2;2;4;2;4;3;4;2;4;4;2;3;3;5;3;3
2020/07/11 10:44:10 AM CET;0;57;0;36;2,42;2,05;2,83;2;1,67;2,43;4;3;3;3;3;4;4;4;4;4;2;2;3;1;1;2;4;2;3;3;3;2;1;5;4;2;3;5;1;1;5;1;3;3;3;3;3
2020/07/11 12:02:12 PM CET;0;18;1;30;3,25;2,07;3,5;3;3;1,14;3;3;3;3;3;4;2;3;3;3;4;3;5;3;2;5;1;5;5;1;5;3;4;2;5;1;3;5;1;3;5;1;4;2;1;5;1
2020/07/11 1:03:52 PM CET;0;47;0;29;3;2,69;3,33;2,67;1,67;3,71;3;2;3;3;3;3;2;4;3;3;1;1;5;3;1;1;5;1;2;4;5;1;1;5;1;5;3;5;1;4;4;2;1;5;3;2;4
2020/07/11 1:50:15 PM CET;0;22;1;32;2,75;3,36;3,17;2,33;4;2,71;3;4;3;3;3;4;3;3;3;3;3;5;3;3;4;5;1;2;1;5;3;4;3;3;3;3;3;3;3;2;5;1;3;3;3;3;3
2020/07/11 2:23:13 PM CET;0;19;1;31;1,83;2,79;2,33;1,33;3;2,57;3;3;3;2;3;4;3;3;3;4;1;4;3;3;1;3;3;1;2;4;4;2;2;4;3;3;1;5;1;2;5;1;2;4;1;4;2
2020/07/11 2:34:54 PM CET;1;70;1;28;3,92;2,07;3,83;4;2;2,14;3;3;3;2;3;3;2;3;3;3;4;1;5;3;4;4;2;4;4;2;5;2;4;2;4;2;3;2;4;5;5;1;4;2;3;4;2
2020/07/11 4:15:01 PM CET;0;49;1;27;1,75;2,24;1,17;2,33;2,33;2,14;3;2;3;2;2;3;2;3;3;4;1;3;1;2;1;4;2;2;3;3;2;2;5;1;5;1;1;4;2;3;5;1;2;4;2;4;2
2020/07/11 6:35:30 PM CET;0;67;1;29;2,42;3,21;2,5;2,33;3;3,43;3;3;2;3;3;3;3;3;3;3;1;4;3;3;2;1;5;2;3;3;4;2;3;3;2;4;2;3;3;3;2;4;4;2;2;3;3
2020/07/11 7:30:22 PM CET;0;51;1;36;2,33;3,24;3;1,67;3,33;3,14;4;3;4;4;4;3;4;3;3;4;3;5;4;1;3;1;5;1;2;4;4;4;4;2;4;2;2;3;3;2;4;2;3;3;2;3;3
2020/07/12 6:37:08 AM CET;0;49;0;31;3,75;3,69;4,17;3,33;2,67;4,71;3;3;3;4;3;3;3;3;3;3;3;3;5;3;4;1;5;3;1;5;4;2;1;5;1;5;4;1;5;4;1;5;3;3;3;1;5
2020/07/12 7:49:36 AM CET;0;48;0;28;3,5;1,98;3,67;3,33;1,67;2,29;2;3;3;3;3;4;4;4;1;1;4;2;5;1;3;5;1;2;4;2;3;2;1;5;1;5;2;5;1;3;4;2;2;4;5;5;1
2020/07/12 8:13:51 AM CET;0;61;0;30;1,17;3,38;1,33;1;3,33;3,43;3;3;3;3;3;3;3;3;3;3;1;3;1;3;1;1;5;1;2;4;2;4;4;2;4;2;1;2;4;1;3;3;4;2;1;2;4
2020/07/12 11:54:18 AM CET;1;28;1;27;1,75;3,02;1,5;2;2,33;3,71;3;2;3;3;2;3;3;2;3;3;1;2;1;1;1;1;5;2;2;4;2;4;3;3;4;2;1;2;4;2;1;5;3;3;2;3;3
2020/07/13 6:47:28 AM CET;1;58;0;31;3,17;3,33;4;2,33;3,67;3;3;2;3;3;3;3;3;4;4;3;4;3;4;4;4;3;3;3;2;4;4;4;2;4;4;2;4;4;2;2;4;2;2;4;2;2;4
2020/07/13 5:24:29 PM CET;0;31;0;34;1;1,93;1;1;2;1,86;4;3;3;4;4;4;2;4;4;2;1;2;1;1;1;3;3;1;4;2;1;3;5;1;4;2;1;4;2;1;4;2;5;1;1;5;1
2020/07/13 6:02:33 PM CET;0;35;1;27;1;1,76;1;1;1,67;1,86;2;2;2;3;3;3;3;3;3;3;1;1;1;1;1;2;4;1;5;1;1;3;5;1;4;2;1;3;3;1;5;1;5;1;1;5;1
2020/07/13 7:48:31 PM CET;1;26;1;37;2,17;2,31;1,33;3;2,33;2,29;3;3;3;4;4;4;4;4;4;4;1;1;1;3;1;3;3;3;4;2;1;3;3;3;5;1;1;4;2;3;4;2;3;3;3;3;3
2020/07/13 8:24:35 PM CET;1;41;1;31;1,75;3,07;2,17;1,33;3;3,14;4;3;3;3;3;3;3;3;3;3;1;4;4;1;1;1;5;1;4;2;4;4;5;1;5;1;2;2;4;2;3;3;4;2;1;1;5
2020/07/14 11:39:30 AM CET;0;27;0;36;2,5;3,57;2,67;2,33;4;3,14;4;4;3;3;3;4;4;3;4;4;2;4;3;3;2;1;5;5;1;5;1;5;1;5;5;1;3;4;2;1;5;1;2;4;1;2;4
2020/07/14 12:55:13 PM CET;0;26;0;30;1,92;2,93;2,17;1,67;2;3,86;3;4;3;3;3;3;2;3;3;3;3;2;1;2;1;1;5;2;1;5;3;2;2;4;2;4;1;3;3;2;3;3;1;5;1;4;2
2020/07/14 1:06:15 PM CET;0;46;0;31;1,58;3,29;1,83;1,33;3;3,57;3;3;3;3;3;3;3;3;3;4;2;4;3;3;1;1;5;2;2;4;1;2;3;3;2;4;1;4;2;1;2;4;3;3;1;3;3
2020/07/16 5:35:32 PM CET;0;42;1;40;4,17;2,31;3,67;4,67;2,33;2,29;4;4;4;4;4;4;4;4;4;4;3;3;5;3;3;5;1;4;3;3;3;1;1;5;5;1;3;4;2;5;4;2;3;3;5;2;4
2020/07/16 7:44:54 PM CET;1;25;1;23;1,58;4,33;2,17;1;3,67;5;3;2;2;2;2;3;2;2;2;3;1;3;1;3;1;1;5;1;1;5;4;5;1;5;1;5;1;1;5;1;1;5;1;5;1;1;5
2020/07/16 8:57:56 PM CET;0;28;1;40;1,17;2,76;1,33;1;1,67;3,86;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;5;1;1;5;1;3;3;3;5;1;1;5;1;1;1;5;1;5;1;1;5
2020/07/16 9:05:17 PM CET;0;47;0;30;2,92;2,12;2,83;3;1,67;2,57;3;3;3;3;3;3;3;3;3;3;1;3;4;1;2;3;3;3;2;4;4;1;1;5;3;3;1;5;1;4;3;3;4;2;2;4;2
2020/07/16 9:13:47 PM CET;0;31;0;31;4,08;3,95;4,83;3,33;3,33;4,57;3;3;4;3;3;4;2;3;3;3;4;3;5;3;5;1;5;3;1;5;5;4;1;5;2;4;5;3;3;4;1;5;1;5;3;1;5
2020/07/16 10:00:38 PM CET;0;31;0;28;1,08;3,98;1,17;1;3,67;4,29;3;3;2;2;3;3;3;3;3;3;1;5;1;1;2;1;5;1;1;5;1;5;5;1;5;1;1;2;4;1;1;5;1;5;1;1;5
2020/07/16 10:59:09 PM CET;0;22;0;28;3,17;2,07;2,33;4;2;2,14;3;3;3;3;3;3;2;2;3;3;3;2;3;3;3;3;3;5;2;4;2;1;5;1;5;1;2;5;1;4;4;2;3;3;3;5;1
2020/07/16 11:29:00 PM CET;1;28;0;27;2,92;3,79;2,5;3,33;4;3,57;3;3;3;2;2;3;3;2;3;3;4;4;4;4;2;1;5;4;1;5;1;4;3;3;5;1;1;4;2;4;2;4;2;4;2;2;4
2020/07/17 9:03:51 AM CET;0;22;0;35;3,08;2,26;3,5;2,67;2,67;1,86;3;3;2;4;4;4;3;4;4;4;5;2;5;2;2;4;2;4;4;2;2;4;1;5;4;2;2;4;2;2;5;1;4;2;2;4;2
2020/07/18 4:31:05 PM CET;0;47;0;25;3;2,62;4,33;1,67;2,67;2,57;3;1;2;3;3;3;3;2;2;3;4;4;4;1;3;1;5;1;3;3;5;3;1;5;5;1;5;5;1;2;4;2;3;3;2;3;3
2020/08/10 2:32:29 PM CET;0;27;1;34;2,67;2,74;1,67;3,67;2,33;3,14;3;3;3;3;4;4;2;4;4;4;1;5;1;1;1;4;2;4;1;5;5;1;5;1;3;3;1;3;3;3;5;1;1;5;4;3;3
2020/07/10 11:32:24 AM CET;1;51;1;10;1;2,07;1;1;1;3,14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;4;2;1;1;5;1;4;2;1;1;5;1;1;5;5;1;1;4;2
2020/07/10 4:54:57 PM CET;1;32;1;31;2,17;2,5;1,67;2,67;2;3;3;4;3;3;3;3;3;3;3;3;1;2;1;2;1;3;3;2;1;5;3;2;3;3;4;2;1;2;4;3;3;3;3;3;3;5;1
2020/07/11 2:10:51 PM CET;0;26;1;27;1;2,14;1;1;2;2,29;3;1;3;3;3;3;2;3;3;3;1;1;1;2;1;4;2;1;3;3;1;3;5;1;4;2;1;4;2;1;3;3;5;1;1;3;3
2020/07/11 2:22:03 PM CET;1;25;1;33;4,17;2,93;4,67;3,67;2;3,86;4;3;4;3;3;4;3;2;3;4;5;3;5;2;5;2;4;4;1;5;5;1;1;5;5;1;3;3;3;4;1;5;2;4;3;1;5
2020/07/11 3:48:44 PM CET;0;57;0;26;1,83;2,64;2;1,67;2;3,29;3;2;2;3;3;2;2;3;3;3;1;2;3;1;2;2;4;1;3;3;1;3;2;4;4;2;1;2;4;2;3;3;3;3;2;2;4
2020/07/11 5:33:10 PM CET;1;25;0;31;4,92;2,57;4,83;5;3;2,14;3;3;3;3;3;4;3;3;3;3;5;2;5;3;4;3;3;5;3;3;5;4;1;5;5;1;5;5;1;5;5;1;1;5;5;5;1
2020/07/12 1:16:21 PM CET;1;38;0;29;4,17;3,26;3,67;4,67;2,67;3,86;3;3;3;3;3;3;2;3;3;3;3;4;4;2;1;1;5;4;2;4;5;2;1;5;5;1;4;4;2;5;1;5;1;5;5;1;5
2020/07/12 10:32:15 PM CET;1;49;0;28;1,67;3,24;1,33;2;3,33;3,14;3;3;3;2;3;3;3;2;3;3;1;3;1;4;2;3;3;2;2;4;1;3;4;2;4;2;1;3;3;2;4;2;3;3;2;1;5
2020/07/14 11:35:57 AM CET;0;27;1;38;1,83;2,57;1,67;2;2;3,14;3;3;4;4;4;4;4;4;4;4;1;2;1;2;1;1;5;2;2;4;1;2;1;5;4;2;1;3;3;2;2;4;3;3;2;5;1
2020/07/14 11:36:16 AM CET;0;38;1;39;2,5;3,19;1,67;3,33;3,67;2,71;4;4;3;4;4;4;4;4;4;4;1;3;1;5;1;4;2;5;1;5;3;3;3;3;4;2;1;5;1;3;3;3;3;3;2;3;3
2020/07/14 11:58:19 AM CET;1;26;0;26;2,33;2,26;2,33;2,33;1,67;2,86;1;2;2;3;3;3;3;3;3;3;2;1;4;1;1;3;3;2;2;4;4;3;4;2;4;2;1;2;4;4;4;2;5;1;1;2;4
2020/07/14 1:55:10 PM CET;0;39;0;39;1,75;2,62;2,17;1,33;1,67;3,57;4;4;4;3;4;4;4;4;4;4;1;1;5;1;1;1;5;1;1;5;1;3;2;4;5;1;1;4;2;2;1;5;4;2;1;1;5
2020/07/14 10:33:26 PM CET;1;28;1;35;4,83;2,93;5;4,67;2;3,86;4;4;4;3;4;4;3;3;3;3;5;3;5;2;5;1;5;4;1;5;5;1;1;5;1;5;5;3;3;5;1;5;5;1;5;3;3
2020/07/15 10:58:41 AM CET;0;57;1;30;1,08;2,4;1,17;1;2,67;2,14;3;3;3;3;3;3;3;3;3;3;1;3;2;1;1;1;5;1;3;3;1;4;5;1;5;1;1;5;1;1;5;1;5;1;1;3;3
2020/07/15 6:02:49 PM CET;0;39;0;28;1,33;1,81;1,33;1,33;1,33;2,29;3;2;3;2;3;3;3;3;3;3;1;2;2;1;1;2;4;1;2;4;1;1;4;2;5;1;1;5;1;1;5;1;2;4;2;5;1
2020/07/15 11:15:40 PM CET;1;18;1;39;2,25;3,36;2,5;2;4;2,71;4;4;4;4;4;4;4;3;4;4;2;5;3;3;1;1;5;2;3;3;4;4;2;4;5;1;1;5;1;2;2;4;4;2;2;3;3
2020/07/15 11:16:20 PM CET;0;22;1;30;2,17;1,86;1,33;3;2;1,71;4;4;2;2;2;3;3;3;3;4;1;3;1;1;1;3;3;4;4;2;3;2;5;1;5;1;1;5;1;3;5;1;5;1;2;3;3
2020/07/15 11:23:39 PM CET;1;19;0;31;2,08;3,36;2,5;1,67;3;3,71;4;4;3;3;3;4;3;2;2;3;3;5;3;2;1;1;5;2;1;5;3;2;4;2;4;2;3;3;3;2;4;2;2;4;1;1;5
2020/07/15 11:35:39 PM CET;0;28;0;39;3,67;2,29;2,33;5;3;1,57;4;4;3;4;4;4;4;4;4;4;3;3;2;2;1;3;3;5;5;1;2;4;4;2;5;1;4;5;1;5;5;1;3;3;5;5;1
2020/07/16 12:14:31 AM CET;0;19;1;18;2,67;3,74;2;3,33;4,33;3,14;2;2;1;1;1;1;1;3;3;3;1;5;4;3;1;5;1;4;2;4;3;5;4;2;2;4;1;2;4;3;2;4;4;2;3;3;3
2020/07/16 5:50:27 AM CET;0;24;0;28;1,92;3,64;2,17;1,67;3;4,29;3;3;2;3;3;3;3;3;3;2;1;2;2;3;1;1;5;1;2;4;3;4;1;5;2;4;1;2;4;1;1;5;2;4;3;2;4
2020/07/16 7:20:01 AM CET;0;23;0;33;1;1,36;1;1;1;1,71;3;2;3;4;4;4;3;3;3;4;1;1;1;1;1;1;5;1;5;1;1;1;5;1;5;1;1;4;2;1;5;1;5;1;1;5;1
2020/07/16 7:47:00 AM CET;0;40;0;25;1,5;2,76;1,67;1,33;2,67;2,86;2;2;2;3;2;3;3;2;3;3;1;2;1;3;1;1;5;1;3;3;1;3;1;5;4;2;1;4;2;1;3;3;4;2;2;3;3
2020/07/16 9:48:36 AM CET;0;24;0;27;4,33;2,69;4;4,67;2,67;2,71;3;2;2;2;2;4;3;3;3;3;2;3;5;3;4;3;3;5;3;3;5;2;1;5;4;2;3;2;4;5;5;1;3;3;4;3;3
2020/07/16 10:50:35 AM CET;1;28;0;37;1,83;3,14;2;1,67;3;3,29;4;3;3;3;4;4;4;4;4;4;2;3;3;2;2;1;5;1;3;3;2;4;4;2;4;2;1;3;3;2;2;4;3;3;2;3;3
2020/07/16 11:58:05 AM CET;1;63;0;33;2,83;2,36;3;2,67;2;2,71;4;4;3;3;3;3;4;3;3;3;4;2;4;2;2;4;2;4;4;2;2;2;4;2;4;2;4;4;2;2;4;2;2;4;2;1;5
2020/07/16 2:51:43 PM CET;1;28;0;33;1,42;2,83;1,17;1,67;1,67;4;4;3;3;3;3;3;3;4;4;3;1;3;1;1;1;1;5;1;1;5;1;1;4;2;4;2;1;3;3;3;2;4;1;5;1;2;4
2020/07/16 3:04:12 PM CET;1;25;0;29;3,5;2,64;4;3;2;3,29;3;3;3;3;3;3;2;3;3;3;3;2;4;3;4;2;4;3;3;3;5;1;1;5;3;3;3;3;3;4;2;4;3;3;2;3;3
2020/07/16 4:44:02 PM CET;0;32;0;28;1,83;3,29;1,67;2;3;3,57;3;3;3;2;3;3;2;2;3;4;1;3;2;3;1;1;5;3;2;4;1;3;2;4;5;1;1;2;4;2;2;4;3;3;1;2;4
2020/07/16 4:50:50 PM CET;0;25;1;35;2,92;2,57;2,17;3,67;2;3,14;4;3;3;3;4;3;4;3;4;4;3;2;3;2;2;3;3;4;4;2;1;2;4;2;2;4;2;1;5;3;4;2;2;4;4;4;2
2020/07/16 5:07:34 PM CET;1;26;0;38;1,67;3,31;2,33;1;2,33;4,29;4;3;3;4;4;4;4;4;4;4;1;3;4;1;2;1;5;1;1;5;1;3;2;4;4;2;2;1;5;1;1;5;1;5;1;3;3
2020/07/16 5:07:39 PM CET;0;26;0;31;3;1,88;3,67;2,33;2,33;1,43;3;3;4;3;3;3;3;3;3;3;2;3;4;2;3;3;3;4;5;1;5;2;1;5;5;1;3;5;1;2;5;1;4;2;1;5;1
2020/07/16 5:12:55 PM CET;1;29;0;29;2,67;4,24;1,33;4;4,33;4,14;4;2;1;3;4;3;2;3;3;4;1;5;2;4;1;1;5;5;2;4;1;4;4;2;1;5;1;1;5;4;4;2;3;3;3;1;5
2020/07/16 5:20:28 PM CET;0;28;0;36;1,75;2,21;1,83;1,67;2;2,43;4;4;4;4;4;4;3;3;3;3;1;2;2;2;2;2;4;1;2;4;1;2;2;4;5;1;1;5;1;2;5;1;2;4;2;4;2
2020/07/16 6:11:08 PM CET;0;27;0;30;2,25;2,93;2,17;2,33;3;2,86;3;3;3;3;3;3;3;3;3;3;1;4;3;2;2;3;3;2;2;4;2;3;3;3;4;2;2;3;3;2;3;3;3;3;3;4;2
2020/07/16 7:49:06 PM CET;1;25;0;32;1,58;3,38;1,83;1,33;4,33;2,43;4;4;1;2;4;4;1;4;4;4;3;5;2;4;2;3;3;1;1;5;1;4;5;1;5;1;2;5;1;1;5;1;2;4;2;4;2
2020/07/16 8:11:59 PM CET;1;28;1;32;2,58;2,43;2,17;3;3;1,86;4;3;3;3;3;3;4;3;3;3;1;3;1;4;1;1;5;3;5;1;5;2;4;2;5;1;3;5;1;3;5;1;5;1;3;3;3
2020/07/16 8:31:30 PM CET;0;29;1;31;4,83;2,86;5;4,67;3;2,71;3;2;3;3;4;3;4;3;3;3;5;3;5;3;5;3;3;5;3;3;5;3;1;5;4;2;5;3;3;5;4;2;3;3;4;3;3
2020/07/16 10:29:00 PM CET;0;27;1;31;2;3,38;2;2;3,33;3,43;3;3;3;4;3;4;2;2;3;4;2;4;2;3;1;3;3;2;1;5;2;3;2;4;4;2;1;3;3;1;2;4;2;4;3;3;3
2020/07/16 11:17:12 PM CET;0;25;0;30;4,17;2,26;5;3,33;2,67;1,86;3;3;2;2;2;3;3;4;4;4;5;5;5;1;5;3;3;4;5;1;5;2;1;5;5;1;5;5;1;3;5;1;3;3;3;3;3
2020/07/17 6:36:30 AM CET;0;28;0;34;3;2,48;2,33;3,67;2,67;2,29;4;3;3;3;3;4;4;3;3;4;4;1;3;5;1;5;1;4;3;3;1;2;3;3;4;2;2;3;3;4;5;1;1;5;3;5;1
2020/07/17 8:05:36 AM CET;1;28;0;22;2,17;2,29;1,33;3;1;3,57;2;2;2;2;2;2;2;2;3;3;2;1;2;1;1;1;5;3;1;5;1;1;5;1;4;2;1;4;2;3;2;4;1;5;3;4;2
2020/07/17 8:31:03 AM CET;1;44;1;31;2,33;4,83;3,33;1,33;4,67;5;4;2;2;3;3;4;3;3;3;4;1;4;3;5;3;1;5;1;1;5;5;5;1;5;1;5;3;1;5;2;1;5;1;5;1;1;5
2020/07/17 9:24:53 AM CET;0;25;0;25;2,83;2,02;2,67;3;2,33;1,71;3;3;2;2;2;3;2;2;3;3;3;3;2;1;2;3;3;4;4;2;4;3;2;4;5;1;1;4;2;3;5;1;5;1;2;4;2
2020/07/17 11:05:58 AM CET;0;24;0;28;2;2,5;1;3;3;2;3;3;2;3;3;3;2;3;3;3;1;3;1;2;1;4;2;5;3;3;1;4;5;1;5;1;1;5;1;2;3;3;4;2;2;4;2
2020/07/17 12:25:54 PM CET;0;24;1;23;3,67;1,95;2,67;4,67;1,33;2,57;3;2;3;2;2;3;1;2;2;3;2;1;5;2;3;2;4;5;3;3;2;1;4;2;2;4;2;5;1;4;5;1;2;4;5;5;1
2020/07/17 2:42:35 PM CET;1;29;1;30;2,08;2,95;1,83;2,33;2,33;3,57;3;3;3;3;3;3;3;3;3;3;1;3;2;2;2;1;5;2;2;4;3;2;4;2;4;2;1;2;4;4;2;4;3;3;1;3;3
2020/07/17 9:57:50 PM CET;1;35;1;28;2,25;2,55;1,83;2,67;1,67;3,43;2;3;2;3;3;3;3;3;3;3;1;1;1;2;1;2;4;4;4;2;3;2;2;4;3;3;1;2;4;2;3;3;3;3;2;1;5
